postcode_district,price_2021,price_2022,price_2023,price_2024_predicted,change_2021_2022,change_2022_2023,change_2023_2024
ME17,375549.403,412742.39612188365,408173.33980582526,387391.0311300384,9.9,-1.11,-5.09
ME18,416946.2775330396,465565.2173913043,388487.65432098764,387468.59970238095,11.66,-16.56,-0.26
ME19,454482.07258064515,479346.5566037736,487997.3123486683,488134.52590558195,5.47,1.8,0.03
ME20,334386.8131868132,380680.5970149254,366632.7272727273,369097.6601151316,13.84,-3.69,0.67
ME3,447543.47826086957,456744.89795918367,495920.28985507245,445091.5585387324,2.06,8.58,-10.25
ME6,291577.4647887324,287298.1651376147,296718.3908045977,290296.3519467213,-1.47,3.28,-2.16
ME9,334656.7164179105,335621.8181818182,360843.3734939759,338522.78916484717,0.29,7.51,-6.19
TN1,298284.7896440129,304890.43209876545,288210.01515151514,287469.2729928862,2.21,-5.47,-0.26
TN10,453884.44444444444,528202.4539877301,488678.5714285714,457418.6640625,16.37,-7.48,-6.4
TN11,460029.4117647059,532092.5110132159,503098.4251968504,516408.0766752577,15.66,-5.45,2.65
TN12,445618.3133187773,471332.2477876106,422497.74962063733,435645.48198712623,5.77,-10.36,3.11
TN13,606812.7847533632,718485.7954545454,665597.9848866499,642110.0273085586,18.4,-7.36,-3.53
TN14,518286.496350365,553221.8844984802,521711.2068965517,526488.8925702812,6.74,-5.7,0.92
TN15,464504.95049504953,484597.6666666667,484965.60846560844,473180.0449074074,4.33,0.08,-2.43
TN16,514119.17098445597,547512.3966942149,510237.62376237626,500140.197337963,6.5,-6.81,-1.98
TN17,431309.67741935485,415481.1320754717,460702.47933884297,427985.7356557377,-3.67,10.88,-7.1
TN18,480599.1902834008,427304.6357615894,502273.46774193546,439549.08580508473,-11.09,17.54,-12.49
TN2,448883.9285714286,489379.64250248263,467224.6556671449,423446.0152529762,9.02,-4.53,-9.37
TN23,257054.4834307992,276869.6172248804,271942.429022082,278376.56154486677,7.71,-1.78,2.37
TN24,313639.8109517601,347382.3801652893,330555.55555555556,335018.47296277666,10.76,-4.84,1.35
TN25,357106.80555555556,385162.85714285716,421823.4323432343,435341.58733974356,7.86,9.52,3.2
TN26,406632.1212121212,475240.5138888889,462703.26171875,463919.86769636016,16.87,-2.64,0.26
TN27,465094.8755490483,502764.26767676766,508469.8387096774,499383.0284615385,8.1,1.13,-1.79
TN28,327779.7727272727,365171.23287671234,383860.29411764705,355990.41297468357,11.41,5.12,-7.26
TN29,291674.92711370264,319730.6034482759,308675.6756756757,311966.3033494475,9.62,-3.46,1.07
TN3,644453.125,765119.4285714285,646184.2105263157,546750.4504076086,18.72,-15.54,-15.39
TN30,405941.40625,426682.131147541,445116.9590643275,422400.0164366883,5.11,4.32,-5.1
TN4,413333.93177737884,466871.03594080335,424193.3962264151,426569.1966609589,12.95,-9.14,0.56
TN8,484706.940874036,521873.3766233766,507848.1100478469,467427.53309729067,7.67,-2.69,-7.96
TN9,367519.5517241379,351741.34419551934,345923.8670694864,350672.6957325269,-4.29,-1.65,1.37
